Index,Date,Dogs,Rocket,Altitude,Result,Notes,Year,dogStatus
0,7/22/51,"Dezik,Tsygan",R-1V,100,recovered safely,,1951,"alive,alive"
1,7/29/51,"Dezik,Lisa",R-1B,100,"parachute failed, both dogs died",,1951,"dead,dead"
2,8/15/51,"Chizhik,Mishka",R-1B,100,recovered safely,,1951,"alive,alive"
3,8/19/51,"Ryzhik,Smeliy",R-1V,100,recovered safely,,1951,"alive,alive"
4,8/28/51,"Chizhik,Mishka",R-1B,100,"failed, both dogs died",,1951,"dead,dead"
5,9/3/51,"Neputeviy,ZIB",R-1B,100,recovered safely,,1951,"alive,alive"
6,6/26/51,"Lisa-2,Ryzhik-2",R-1D,100,recovered safely,,1951,"alive,alive"
7,7/2/54,"Damka,Mishka-2",R-1D,100,"recovered safely, mishka-2 died",,1954,"alive,dead"
8,7/7/54,"Damka,Ryzhik-2",R-1D,100,"recovered safely, ryshik-2 died",,1954,"alive,dead"
9,7/26/54,"Lisa-2,Ryzhik-3",unknown,0,recovered safely,no rocket or altitude info,1954,"alive,alive"
10,1/25/55,"Rita,Linda",R-1E,100,"recovered safely, rita died",or 1955-06-25,1955,"dead,alive"
11,2/5/55,"Bulba,Lisa-2",R-1E,100,"recovery failed, both dogs died",,1955,"dead,dead"
12,11/4/55,"Knopka,Malyshka",R-1E,100,recovered safely after 3 days,,1955,"alive,alive"
13,5/14/56,"Albina,Kozyavka",R-1E,100,recovered safely,,1956,"alive,alive"
14,5/31/56,"Linda,Malyshka",R-1E,100,recovered safely,,1956,"alive,alive"
15,6/7/56,"Albina,Kozyavka",R-1E,100,recovered safely,,1956,"alive,alive"
16,6/14/56,"Albina,Kozyavka",R-1E,100,recovered safely,,1956,"alive,alive"
17,5/16/57,"Damka-2,Ryzhaya",R-2A,212,recovered safely,,1957,"alive,alive"
18,5/24/57,"Dzhoyna,Ryzhaya",R-2A,212,"cabin decompression, both dogs died",,1957,"dead,dead"
19,8/25/57,"Belka,Modnitsa",R-2A,212,recovered safely,,1957,"alive,alive"
20,8/31/57,"Belka,Damka-2",R-2A,212,recovered safely,,1957,"alive,alive"
21,9/6/57,"Belka,Modnitsa",R-2A,212,recovered safely,,1957,"alive,alive"
22,11/3/57,Laika,"R-7, Sputnik 2",1000,"no recovery system, died in space",,1957,dead
23,2/21/58,"Palma,Pushok",R-5A,451,"cabin decompression, both dogs died",,1958,"dead,dead"
24,8/2/58,"Palma-2,Kusachka / Otvazhnaya",R-2A,212,recovered safely,,1958,"alive,alive"
25,8/13/58,"Palma-2,Kusachka / Otvazhnaya",R-2A,212,recovered safely,,1958,"alive,alive"
26,8/27/58,"Belyanka,Pestraya",R-5A,451,recovered safely,,1958,"alive,alive"
27,9/19/58,"Damka-2,Kozyavka",unknown,0,recovered safely,no rocket or altitude info,1958,"alive,alive"
28,10/31/58,"Knopka,Zhulba",R-5A,451,"parachute failed, both dogs died",,1958,"dead,dead"
29,7/2/59,"Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya",R-2A,212,recovered safely,flew with a rabbit named Marfusa,1959,"alive,alive"
30,7/10/59,"Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya",R-2A,212,recovered safely,,1959,"alive,alive"
31,6/15/60,"Kusachka / Otvazhnaya,Malyok",R-2A,212,recovered safely,flew with a rabbit named Zvezdochka (Little Star),1960,"alive,alive"
32,6/24/60,"Kusachka / Otvazhnaya,Snezhinka / Zhemchuzhnaya",R-2A,212,recovered safely,Otvazhnaya's participation in this flight is questioned,1960,"alive,alive"
33,7/28/60,"Lisichka,Bars / Chaika","R-7, Vostok Prototype",1000,"exploded during launch, both dogs died",,1960,"dead,dead"
34,8/19/60,"Belka,Strelka","R-7, Sputnik 5",1000,"spent one day in orbit, recovered safely",,1960,"alive,alive"
35,9/16/60,"Malyok,Palma-2",R-2A,212,recovered safely,,1960,"alive,alive"
36,9/22/60,"Kusachka / Otvazhnaya,Neva",unknown,0,recovered safely,Otvazhnaya's participation in this flight is questioned,1960,"alive,alive"
37,12/1/60,"Mushka,Pchyolka","R-7, Sputnik 6",1000,"spent one day in orbit, capsule was destroyed, both dogs died",,1960,"dead,dead"
38,12/22/60,"Shutka,Kometka",R-7,1000,"upper stage failed, dogs recovered after a suborbital flight",,1960,"alive,alive"
39,3/9/61,Chernuskha,"R-7, Sputnik 9",1000,"one orbit, recovered safely",flew with a mannequin named Ivan Ivanovic,1961,alive
40,3/25/61,Zvezdochka,"R-7, Sputnik 10",1000,"one orbit, recovered safely",flew with a mannequin named Ivan Ivanovic,1961,alive
41,2/22/66,"Ugolyok / Snezhok,Veterok / Bzdunok","Voskhod, Cosmos 110",1000,recovered safely after a 22-day flight,,1966,"alive,alive"